"prime","target","primeGroup"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/37-prime-4.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/37-target.PNG","prime-4"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/40-prime-4.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/40-target.PNG","prime-4"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/22-prime-4.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/22-target.PNG","prime-4"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/39-prime-4.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/39-target.PNG","prime-4"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/15-prime-4.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/15-target.PNG","prime-4"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/11-prime-4.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/11-target.PNG","prime-4"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/18-prime-4.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/18-target.PNG","prime-4"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/2-prime-4.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/2-target.PNG","prime-4"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/17-prime-4.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/17-target.PNG","prime-4"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/35-prime-4.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/35-target.PNG","prime-4"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/16-prime-4.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/16-target.PNG","prime-4"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/36-prime-1.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/36-target.PNG","prime-1"
