"prime","target","primeGroup"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/1-prime-2.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/1-target.PNG","prime-2"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/33-prime-2.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/33-target.PNG","prime-2"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/43-prime-2.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/43-target.PNG","prime-2"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/44-prime-2.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/44-target.PNG","prime-2"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/30-prime-2.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/30-target.PNG","prime-2"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/41-prime-2.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/41-target.PNG","prime-2"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/20-prime-2.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/20-target.PNG","prime-2"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/29-prime-2.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/29-target.PNG","prime-2"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/21-prime-2.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/stimuli/21-target.PNG","prime-2"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/nonce/nonce-79.jpg","https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-1.PNG","filler"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/nonce/nonce-294.jpg","https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-254.PNG","filler"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-195.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-124.PNG","filler"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-257.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-205.PNG","filler"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/nonce/nonce-305.jpg","https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-274.PNG","filler"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-141.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-61.PNG","filler"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-119.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-278.PNG","filler"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/nonce/nonce-806.jpg","https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-375.PNG","filler"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/nonce/nonce-802.jpg","https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-23.PNG","filler"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/nonce/nonce-541.jpg","https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-303.PNG","filler"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-189.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-220.PNG","filler"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-67.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-333.PNG","filler"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/nonce/nonce-161.jpg","https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-153.PNG","filler"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-347.PNG","https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-132.PNG","filler"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/nonce/nonce-692.jpg","https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-270.PNG","filler"
"https://raw.githubusercontent.com/crystalliu647/ling231/main/nonce/nonce-507.jpg","https://raw.githubusercontent.com/crystalliu647/ling231/main/filler/filler-4.PNG","filler"
